file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main$Anonymous2,"compare/2[PetShop,PetShop]",false,61,1,2,0,2,1,2,5,1,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,getPreco/0,false,27,1,3,2,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,verificarDiaSemana/1[java.lang.String],false,59,1,3,2,1,3,3,12,2,4,1,3,1,1,0,0,0,0,4,0,4,0,1,0,0,0,17,1,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,validarData/1[java.lang.String],false,48,0,1,1,0,2,2,11,1,2,1,2,0,0,0,0,1,0,2,1,2,0,1,0,0,0,23,1,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,"PetShop/3[java.lang.String,int,int]",true,13,0,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,1,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,getName/0,false,19,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,getDistancia/0,false,23,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,ajustaPreco/0,false,72,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\ChowChawgas.java,ChowChawgas,"ChowChawgas/3[java.lang.String,int,int]",true,3,0,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,5,1,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\ChowChawgas.java,ChowChawgas,ajustaPreco/0,false,10,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,2,0,2,1,3,0,0,0,0,7,1,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\MainTest.java,MainTest,testAjustaPrecoInvalidData/0,false,19,2,2,0,2,1,2,4,0,1,0,2,0,0,0,0,0,0,1,4,1,0,0,0,0,0,12,1,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\MainTest.java,MainTest,testAjustaPrecoComDesconto/0,false,13,2,2,0,2,1,2,4,0,1,0,2,0,0,0,0,0,0,1,4,1,0,0,0,0,0,12,1,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\MainTest.java,MainTest,testAjustaPrecoSemDesconto/0,false,7,2,2,0,2,1,2,4,0,1,0,2,0,0,0,0,0,0,1,4,1,0,0,0,0,0,12,1,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main,main/1[java.lang.String[]],false,18,4,6,0,6,7,13,64,0,11,1,13,0,0,1,1,2,0,13,16,14,3,3,2,0,0,68,9,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\MeuCaninoFeliz.java,MeuCaninoFeliz,ajustaPreco/0,false,12,1,4,3,1,3,3,10,1,0,0,3,0,0,0,0,1,3,0,3,2,5,2,0,0,0,14,1,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\MeuCaninoFeliz.java,MeuCaninoFeliz,"MeuCaninoFeliz/3[java.lang.String,int,int]",true,5,0,4,4,0,1,0,5,0,0,3,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,6,1,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main$Anonymous1,"compare/2[PetShop,PetShop]",false,47,1,2,0,2,1,2,5,1,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\VaiRex.java,VaiRex,"VaiRex/3[java.lang.String,int,int]",true,5,0,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,5,1,0,false
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\VaiRex.java,VaiRex,ajustaPreco/0,false,12,1,1,0,1,3,3,14,1,0,0,3,0,0,0,0,1,4,0,4,2,6,2,0,0,0,13,1,0,false
